MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RISK_MM,Humidity3pm,RainTomorrow,RainToday
-3.7,14.7,0,3.4,10.9,43,9,22,53,,1025.8,1020.9,0,0,5.5,13,0,25,No,No
-2.7,15.2,0,4,9.7,30,6,20,62,,1022.8,1017.9,1,2,6.3,14,0,35,No,No
-2.5,16.6,0,3,9.9,31,4,20,68,,1018.8,1013.9,1,1,6,16,0,20,No,No
-0.5,21.6,0,5,9.9,48,9,26,44,,1014.6,1010.9,7,5,11.9,21,0,27,No,No
9,25.5,0,5.6,10.2,50,20,26,47,,1015.3,1011.4,3,1,17.5,25,9.8,66,Yes,No
13.1,19.4,9.8,8.8,6,67,39,30,71,,1007.3,1006,7,1,16.7,18,1.6,69,Yes,Yes
3.9,13.2,3.4,6.6,11,65,26,31,53,,1017,1017.6,3,1,7.1,12,0,33,No,Yes
0.7,14.1,0,5.6,9,20,6,7,69,,1026.7,1022.1,7,1,7.4,13,0,43,No,No
1.1,18,0,1.6,8.6,39,2,28,82,,1021,1015.6,4,1,7,17,0,36,No,No
5.1,23.3,0,3.6,10.3,44,9,28,54,,1016.4,1011.7,1,1,16.4,22,0,30,No,No
7.5,23.3,0,6.8,10.9,65,15,41,46,,1012.5,1010.9,1,0,18.3,21,0,15,No,No
4.7,19.5,0,10,11,46,13,33,42,,1018.7,1015.1,1,0,14.5,18,0,25,No,No
3.2,21.9,0,6.8,5.2,80,2,20,51,,1012.1,1006.5,1,8,15.9,21,17.4,70,Yes,No
7.8,16.2,17.4,6.4,7.9,50,15,22,73,,1016.7,1017.8,7,1,8,14,0,44,No,Yes
2.4,17.3,0,2.2,11.3,31,4,6,67,,1030.5,1027.7,1,1,10.7,16,0,33,No,No
3.2,18.7,0,2.6,11.1,31,4,13,70,,1032.2,1026.9,1,1,11,18,0,32,No,No
2.5,20.9,0,3.6,10.6,44,20,26,48,,1025.4,1020.6,2,6,15.4,20,0,35,No,No
6.5,25.7,0,4.8,10.5,50,2,24,62,,1022.8,1016.4,5,1,15.9,24,0,25,No,No
14.4,24.3,0,9.4,11.1,52,31,30,36,,1010.5,1009.9,1,1,20.4,23,0,25,No,No
4.9,18.9,0,9.6,9.4,44,6,22,41,,1015.2,1013.9,2,7,14.9,16,0,32,No,No
2.3,16.8,0,4.8,11.4,41,6,28,52,,1019.8,1017,2,1,9.8,16,0,34,No,No
1.4,20.6,0,5.4,11.1,46,6,30,56,,1020.8,1015.4,5,1,11.3,19,0,16,No,No
5.6,27.6,0,5.2,11,46,15,28,44,,1017.7,1014.1,0,0,19,26,0,21,No,No
14.4,20.7,7.6,9.4,4.9,33,20,19,94,,1015.5,1013.2,8,4,14.5,19,3,65,Yes,Yes
10.3,21.3,3,4.2,6.7,43,7,19,79,,1018.1,1013.6,8,1,11.7,19,0,46,No,Yes
11.2,18,0,4.8,8.4,65,24,33,65,,1009.5,1005.3,5,4,12.8,16,8.2,64,Yes,No
0.3,16,8.2,5.4,11.8,57,11,28,68,,1016.8,1013.3,1,1,6.9,14,0,45,No,Yes
0.5,17.9,0,5.8,11.5,44,2,26,72,,1019.1,1017.5,0,1,7.2,16,0,33,No,No
0.5,20,0,6.2,11.5,31,2,9,69,,1026.2,1024.2,0,1,8.1,18,0,22,No,No
4.6,22,0,4.4,11,41,6,19,82,,1028.8,1024.9,1,2,10,21,0,25,No,No
8.2,22.4,0,5.4,11.2,31,2,17,70,,1027.8,1023.8,1,3,13.6,20,0,30,No,No
4.5,23.9,0,4.8,11.7,30,4,11,67,,1025.8,1021.5,0,4,12.6,22,0,27,No,No
6.7,26.1,0,6.2,7.5,70,6,33,56,,1020.9,1016,4,7,16.3,23,13.2,67,Yes,No
9.2,19.6,0.6,3.4,10.4,31,4,7,71,,1022.3,1019.7,7,4,11.6,18,0,42,No,No
4.4,21,0,4.2,12.2,28,2,9,73,,1025.7,1022.3,1,1,9.6,19,0,30,No,No
5,24.1,0,6.2,12,52,0,26,73,,1024.5,1020.7,6,1,11.6,21,0,34,No,No
6.7,24.7,0,5.4,8.6,43,4,20,80,,1025.7,1022.2,1,7,12.7,23,0,31,No,No
8.3,28.5,0,5.8,9.8,46,2,26,66,,1024.1,1019.8,1,6,16.8,27,0.2,30,No,No
11.3,27.4,0.2,7.6,12.1,52,6,31,60,,1021.4,1017.5,1,1,16.4,26,0,20,No,No
9,20.6,0,9,6.2,39,11,11,54,,1022.3,1018.6,7,5,11.4,18,0.8,28,No,No
3.4,15,0.8,4.8,11.7,70,35,37,43,,1023.4,1023.1,1,5,8.3,14,0,24,No,No
3.2,18,0,7.4,12.2,48,26,15,47,,1026.6,1022.8,1,2,9.1,16,0,25,No,No
0.9,20.7,0,5.4,8.4,39,2,17,71,,1023.2,1018.4,3,8,9.4,19,0,29,No,No
3.3,25.5,0,5.2,10.8,43,4,19,57,,1018.8,1014.6,0,3,12,24,0,16,No,No
7.9,26.1,0,6.8,3.5,43,0,19,45,,1017.6,1014.2,5,8,16.3,25,0,20,No,No
9,30.7,0,7.6,12.1,76,7,50,38,,1016.1,1010.8,1,3,20.4,30,0,15,No,No
7.1,28.4,0,11.6,12.7,48,2,19,45,,1020,1016.9,0,1,17.2,28,0,22,No,No
12.5,19.9,0,8.4,5.3,43,11,9,63,,1024,1022.8,3,2,14.5,18,0,47,No,No
12.5,26.9,0,5,7.1,46,6,28,69,,1021,1016.2,6,7,15.8,25,0,39,No,No
12.3,30.2,0,6,12.6,78,31,35,43,,1009.6,1009.2,1,1,23.8,28,0,13,No,No
